FIPS,GEOID,2000,2010,2015
41051000100,41051000100,681,920,1069
41051000200,41051000200,511,644,709
41051000301,41051000301,651,817,984
41051000302,41051000302,965,1203,1582
41051000401,41051000401,744,981,1262
41051000402,41051000402,663,962,1129
41051000501,41051000501,671,1033,1037
41051000502,41051000502,634,737,1013
41051000601,41051000601,710,858,1089
41051000602,41051000602,656,898,952
41051000701,41051000701,643,760,900
41051000702,41051000702,733,1015,1082
41051000801,41051000801,607,728,1027
41051000802,41051000802,623,731,938
41051000901,41051000901,648,833,1123
41051000902,41051000902,605,765,898
41051001000,41051001000,626,817,1002
41051001101,41051001101,491,662,717
41051001102,41051001102,618,853,962
41051001201,41051001201,591,808,955
41051001202,41051001202,597,912,1053
41051001301,41051001301,635,911,1031
41051001302,41051001302,659,1130,1210
41051001400,41051001400,624,860,1004
41051001500,41051001500,698,792,980
41051001601,41051001601,694,1051,1000
41051001602,41051001602,688,1083,1122
41051001701,41051001701,625,794,946
41051001702,41051001702,625,748,1075
41051001801,41051001801,598,781,834
41051001802,41051001802,629,790,871
41051001900,41051001900,590,892,954
41051002000,41051002000,565,731,937
41051002100,41051002100,525,732,895
41051002203,41051002203,525,850,873
41051002303,41051002303,691,1083,1049
41051002401,41051002401,709,1080,1449
41051002402,41051002402,682,899,1061
41051002501,41051002501,1331,1686,1764
41051002502,41051002502,630,771,984
41051002600,41051002600,884,1711,1602
41051002701,41051002701,1051,1622,2109
41051002702,41051002702,460,685,921
41051002801,41051002801,711,831,1086
41051002802,41051002802,596,799,1075
41051002901,41051002901,658,780,1142
41051002902,41051002902,632,915,987
41051002903,41051002903,823,997,1093
41051003000,41051003000,851,1160,1233
41051003100,41051003100,654,1088,1121
41051003200,41051003200,697,1010,1275
41051003301,41051003301,579,838,998
41051003302,41051003302,657,909,1227
41051003401,41051003401,494,759,909
41051003402,41051003402,540,654,1192
41051003501,41051003501,656,714,979
41051003502,41051003502,643,782,1147
41051003601,41051003601,613,991,1123
41051003602,41051003602,746,1007,1374
41051003603,41051003603,1020,1128,1371
41051003701,41051003701,592,850,885
41051003702,41051003702,552,843,1108
41051003801,41051003801,611,691,938
41051003802,41051003802,650,957,1361
41051003803,41051003803,638,785,1070
41051003901,41051003901,658,877,931
41051003902,41051003902,666,989,1149
41051004001,41051004001,532,730,895
41051004002,41051004002,682,1135,1152
41051004101,41051004101,595,797,872
41051004102,41051004102,632,900,922
41051004200,41051004200,531,718,887
41051004300,41051004300,756,900,1377
41051004500,41051004500,600,718,964
41051004601,41051004601,796,934,972
41051004602,41051004602,830,1121,1148
41051004700,41051004700,622,801,1037
41051004800,41051004800,554,781,963
41051004900,41051004900,505,691,866
41051005000,41051005000,559,1260,1663
41051005100,41051005100,502,846,961
41051005200,41051005200,545,756,958
41051005500,41051005500,563,775,784
41051005600,41051005600,561,740,1060
41051005700,41051005700,946,1216,1412
41051005800,41051005800,597,763,1062
41051005900,41051005900,767,966,1413
41051006001,41051006001,805,969,1013
41051006002,41051006002,673,1071,1033
41051006100,41051006100,769,1139,1168
41051006200,41051006200,1015,1083,1338
41051006300,41051006300,1005,1101,1445
41051006402,41051006402,939,1559,1635
41051006403,41051006403,788,786,1041
41051006404,41051006404,788,943,1279
41051006501,41051006501,789,962,1513
41051006502,41051006502,632,757,794
41051006601,41051006601,831,958,922
41051006602,41051006602,619,794,941
41051006701,41051006701,825,883,1337
41051006702,41051006702,707,824,951
41051006801,41051006801,596,688,730
41051006802,41051006802,631,751,1054
41051006900,41051006900,1000,1375,1578
41051007000,41051007000,1074,1273,1662
41051007201,41051007201,962,950,870
41051007202,41051007202,826,1006,1315
41051007400,41051007400,571,672,827
41051007500,41051007500,635,869,886
41051007600,41051007600,570,704,771
41051007700,41051007700,695,1174,1178
41051007800,41051007800,613,787,930
41051007900,41051007900,579,912,808
41051008001,41051008001,748,977,1028
41051008002,41051008002,657,735,850
41051008100,41051008100,622,795,861
41051008201,41051008201,617,851,1175
41051008202,41051008202,672,796,925
41051008301,41051008301,459,753,855
41051008302,41051008302,634,742,978
41051008400,41051008400,579,714,797
41051008500,41051008500,767,956,1117
41051008600,41051008600,643,818,863
41051008700,41051008700,735,1038,1207
41051008800,41051008800,647,1006,1112
41051008901,41051008901,626,898,1197
41051008902,41051008902,655,813,976
41051009000,41051009000,604,773,886
41051009101,41051009101,647,788,959
41051009102,41051009102,722,863,991
41051009201,41051009201,605,799,807
41051009202,41051009202,705,1001,888
41051009301,41051009301,581,727,900
41051009302,41051009302,639,795,897
41051009400,41051009400,710,1015,997
41051009501,41051009501,627,799,898
41051009502,41051009502,639,796,862
41051009701,41051009701,654,791,982
41051009702,41051009702,617,726,870
41051009804,41051009804,667,767,940
41051009903,41051009903,1199,1591,1716
41051010600,41051010600,268,442,571
41051980000,41051980000,500,0,-
,,,,
Average,,676.7832168,895.6363636,1066.338028
